Destination,IATA,ID DM,LIEN DM,,,,
Rio de Janeiro,RIO,k4ayH8DWgXE6vxxDHrr,https://www.dailymotion.com/video/k4ayH8DWgXE6vxxDHrr,,,,"""Rio de Janeiro""=>""k4ayH8DWgXE6vxxDHrr"","
Rome,ROM,k6mJEB1xskQWfixDHrh,https://www.dailymotion.com/video/k6mJEB1xskQWfixDHrh,,,,"""Rome""=>""k6mJEB1xskQWfixDHrh"","
La Réunion,RUN,k2MOl3262Pti72xDHri,https://www.dailymotion.com/video/k2MOl3262Pti72xDHri,,,,"""La Réunion""=>""k2MOl3262Pti72xDHri"","
Sao Paulo,SAO,k3ZYFOHwXKmC1fxDHrj,https://www.dailymotion.com/video/k3ZYFOHwXKmC1fxDHrj,,,,"""Sao Paulo""=>""k3ZYFOHwXKmC1fxDHrj"","
Santiago,SCL,k4JtaFifwB6n8IxDHrk,https://www.dailymotion.com/video/k4JtaFifwB6n8IxDHrk,,,,"""Santiago""=>""k4JtaFifwB6n8IxDHrk"","
Saint Domingue,SDQ,k4Rx64sU8HdhVFxDHrm,https://www.dailymotion.com/video/k4Rx64sU8HdhVFxDHrm,,,,"""Saint Domingue""=>""k4Rx64sU8HdhVFxDHrm"","
Seattle,SEA,k5CGC7cpdGILxZxDHrn,https://www.dailymotion.com/video/k5CGC7cpdGILxZxDHrn,,,,"""Seattle""=>""k5CGC7cpdGILxZxDHrn"","
Séoul,SEL,k7IQUnS5uLxsroxDHHZ,https://www.dailymotion.com/video/k7IQUnS5uLxsroxDHHZ,,,,"""Séoul""=>""k7IQUnS5uLxsroxDHHZ"","
Les Seychelles,SEZ,k3IrlcWlrAKqsuxDHI0,https://www.dailymotion.com/video/k3IrlcWlrAKqsuxDHI0,,,,"""Les Seychelles""=>""k3IrlcWlrAKqsuxDHI0"","
San Francisco,SFO,k3IRqFDugpQPUGxDHI1,https://www.dailymotion.com/video/k3IRqFDugpQPUGxDHI1,,,,"""San Francisco""=>""k3IRqFDugpQPUGxDHI1"","
Hô Chi Minh-Ville,SGN,k5uiIvFoeIW847xDHI2,https://www.dailymotion.com/video/k5uiIvFoeIW847xDHI2,,,,"""Hô Chi Minh-Ville""=>""k5uiIvFoeIW847xDHI2"","
Shanghai,SHA,k2pbnP00D7nbPDxDHI3,https://www.dailymotion.com/video/k2pbnP00D7nbPDxDHI3,,,,"""Shanghai""=>""k2pbnP00D7nbPDxDHI3"","
Singapour,SIN,kQGGgjDgHvR9u8xDHI4,https://www.dailymotion.com/video/kQGGgjDgHvR9u8xDHI4,,,,"""Singapour""=>""kQGGgjDgHvR9u8xDHI4"","
San Jose,SJO,k1Dq4oze8s8VsxxDHI5,https://www.dailymotion.com/video/k1Dq4oze8s8VsxxDHI5,,,,"""San Jose""=>""k1Dq4oze8s8VsxxDHI5"","
Stockholm,STO,k7FYcbP54vEOofxDHI6,https://www.dailymotion.com/video/k7FYcbP54vEOofxDHI6,,,,"""Stockholm""=>""k7FYcbP54vEOofxDHI6"","
Strasbourg,SXB,k2IqBjBNPoVgR3xDHI7,https://www.dailymotion.com/video/k2IqBjBNPoVgR3xDHI7,,,,"""Strasbourg""=>""k2IqBjBNPoVgR3xDHI7"","
